date,campaign_id,channel,campaign_type,region,device,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,roi
2024-04-12,100001,Facebook Ads,Performance,West,Desktop,25553,689,33,12101.29,11393.73,0.027,0.0479,-0.0585
2024-12-14,100002,Instagram Ads,Performance,North,Mobile,35088,929,78,26601.97,30707.22,0.0265,0.084,0.1543
2024-09-27,100003,Facebook Ads,Performance,West,Mobile,29105,730,36,14981.46,14561.3,0.0251,0.0493,-0.028
2024-04-16,100004,Instagram Ads,Performance,South,Mobile,44788,1587,79,37714.18,13195.52,0.0354,0.0498,-0.6501
2024-03-12,100005,Affiliate,Brand,East,Mobile,9888,315,3,5173.76,806.96,0.0319,0.0095,-0.844
2024-07-07,100006,Facebook Ads,Performance,East,Desktop,25916,974,95,25989.87,39072.78,0.0376,0.0975,0.5034
2024-01-21,100007,Instagram Ads,Performance,South,Mobile,27878,832,76,17679.52,24785.46,0.0298,0.0913,0.4019
2024-04-12,100008,Google Search,Brand,North,Mobile,24306,816,15,18802.39,3001.75,0.0336,0.0184,-0.8404
2024-05-01,100009,Google Search,Performance,West,Mobile,15970,1240,82,61081.7,35278.81,0.0776,0.0661,-0.4224
2024-08-02,100010,Email,Performance,South,Mobile,8046,219,13,617.6,2481.36,0.0272,0.0594,3.0177
2024-11-26,100011,Instagram Ads,Brand,North,Desktop,20655,782,9,24847.13,2270.86,0.0379,0.0115,-0.9086
2024-03-28,100012,Email,Performance,West,Mobile,18234,845,56,2357.19,25683.31,0.0463,0.0663,9.8957
2024-04-09,100013,Google Search,Remarketing,West,Desktop,24894,1669,102,96462.47,36155.5,0.067,0.0611,-0.6252
2024-12-25,100014,Instagram Ads,Remarketing,South,Mobile,18822,544,50,15716.6,14141.15,0.0289,0.0919,-0.1002
2024-05-31,100015,Facebook Ads,Performance,West,Mobile,40738,479,17,11511.06,2392.69,0.0118,0.0355,-0.7921
2024-05-10,100016,Facebook Ads,Performance,East,Mobile,44724,950,67,16934.38,31288.09,0.0212,0.0705,0.8476
2024-05-29,100017,Google Search,Brand,East,Mobile,26882,1640,18,120765.01,6788.17,0.061,0.011,-0.9438
2024-11-04,100018,Google Search,Brand,West,Desktop,33202,2040,58,150411.4,26444.98,0.0614,0.0284,-0.8242
2024-09-14,100019,Facebook Ads,Performance,South,Mobile,30666,1201,95,44431.07,29709.53,0.0392,0.0791,-0.3313
2024-12-09,100020,Google Search,Remarketing,West,Mobile,25296,1525,163,55458.96,52286.14,0.0603,0.1069,-0.0572
2024-10-20,100021,Affiliate,Remarketing,South,Desktop,13017,325,31,3162.86,18453.01,0.025,0.0954,4.8343
2024-07-10,100022,Facebook Ads,Remarketing,South,Mobile,19692,222,12,8339.19,7891.46,0.0113,0.0541,-0.0537
2024-10-03,100023,Google Search,Performance,East,Mobile,29592,2054,63,56581.54,32313.31,0.0694,0.0307,-0.4289
2024-06-09,100024,Google Search,Brand,East,Mobile,25736,1916,38,113720.1,7674.75,0.0744,0.0198,-0.9325
2024-11-09,100025,Instagram Ads,Performance,North,Mobile,31651,1020,85,16210.44,13010.41,0.0322,0.0833,-0.1974
2024-01-22,100026,Google Search,Performance,South,Mobile,24406,1320,99,83527.48,48820.89,0.0541,0.075,-0.4155
2024-09-09,100027,Display,Performance,West,Mobile,35385,633,24,8231.52,4867.17,0.0179,0.0379,-0.4087
2024-08-23,100028,Affiliate,Performance,South,Desktop,20530,480,37,5338.43,13142.5,0.0234,0.0771,1.4619
2024-12-10,100029,Facebook Ads,Performance,East,Mobile,30717,674,47,9796.41,17117.72,0.0219,0.0697,0.7473
2024-02-18,100030,Instagram Ads,Remarketing,South,Desktop,30890,888,59,24660.09,29342.06,0.0287,0.0664,0.1899
2024-02-28,100031,Google Search,Performance,North,Mobile,18048,585,48,13656.04,7934.56,0.0324,0.0821,-0.419
2024-06-18,100032,YouTube Ads,Remarketing,West,Mobile,38758,897,119,4753.97,43502.92,0.0231,0.1327,8.1509
2024-07-06,100033,Facebook Ads,Brand,South,Desktop,16750,262,4,9514.71,1489.56,0.0156,0.0153,-0.8434
2024-09-27,100034,Facebook Ads,Performance,West,Desktop,21045,420,31,14491.77,6407.28,0.02,0.0738,-0.5579
2024-07-08,100035,Google Search,Brand,West,Mobile,18463,936,19,51402.6,11617.4,0.0507,0.0203,-0.774
2024-06-23,100036,YouTube Ads,Performance,East,Mobile,37750,832,28,15231.84,13478.39,0.022,0.0337,-0.1151
2024-02-20,100037,Facebook Ads,Brand,South,Desktop,31768,380,13,14659.68,3321.72,0.012,0.0342,-0.7734
2024-12-29,100038,Google Search,Brand,West,Desktop,23619,1111,38,26404.0,19176.46,0.047,0.0342,-0.2737
2024-02-24,100039,YouTube Ads,Remarketing,East,Desktop,25813,362,29,3378.14,13725.05,0.014,0.0801,3.0629
2024-08-31,100040,Instagram Ads,Performance,North,Mobile,36442,439,29,12155.24,7425.95,0.012,0.0661,-0.3891
2024-11-15,100041,Display,Remarketing,North,Mobile,42699,656,66,4046.49,23358.4,0.0154,0.1006,4.7725
2024-05-10,100042,Google Search,Brand,South,Mobile,24142,1009,15,32727.68,6711.07,0.0418,0.0149,-0.7949
2024-11-02,100043,Email,Brand,West,Desktop,19638,556,7,1539.46,3841.57,0.0283,0.0126,1.4954
2024-05-14,100044,YouTube Ads,Performance,South,Mobile,30460,778,69,15150.74,30268.42,0.0255,0.0887,0.9978
2024-01-21,100045,Google Search,Performance,West,Mobile,31693,1012,91,33022.9,25481.08,0.0319,0.0899,-0.2284
2024-11-24,100046,YouTube Ads,Performance,East,Desktop,54912,1526,123,20739.72,50338.92,0.0278,0.0806,1.4272
2024-06-15,100047,Instagram Ads,Performance,North,Mobile,23414,811,28,17848.54,9449.43,0.0346,0.0345,-0.4706
2024-09-30,100048,Affiliate,Remarketing,North,Desktop,19688,413,58,3131.93,24581.14,0.021,0.1404,6.8486
2024-03-29,100049,Google Search,Performance,North,Mobile,23501,1116,110,54245.72,27161.45,0.0475,0.0986,-0.4993
2024-11-11,100050,YouTube Ads,Performance,North,Mobile,63998,1849,155,41265.1,27177.72,0.0289,0.0838,-0.3414
2024-01-14,100051,Facebook Ads,Performance,South,Mobile,33234,949,51,30730.48,11447.83,0.0286,0.0537,-0.6275
2024-08-29,100052,Affiliate,Performance,West,Mobile,22711,824,48,10342.61,15517.0,0.0363,0.0583,0.5003
2024-09-21,100053,Facebook Ads,Performance,South,Mobile,30518,903,82,12423.89,31496.27,0.0296,0.0908,1.5351
2024-12-11,100054,Affiliate,Performance,East,Mobile,23997,748,37,4002.06,5765.67,0.0312,0.0495,0.4407
2024-02-22,100055,Affiliate,Performance,North,Mobile,29395,613,24,3683.29,6809.92,0.0209,0.0392,0.8489
2024-12-05,100056,Facebook Ads,Performance,West,Desktop,32736,475,41,15440.58,8968.54,0.0145,0.0863,-0.4192
2024-04-01,100057,Display,Remarketing,South,Mobile,36919,565,39,6470.65,21716.45,0.0153,0.069,2.3561
